hour,avg(speed)
12,33.5013086586859
22,37.37888915579547
1,38.115228364001496
13,33.11860315026921
16,28.544873061154252
6,37.9537684350215
3,39.49983361653167
20,35.495885335529294
5,41.79199348343343
19,33.129402342695414
15,29.759561004914342
9,33.914905026354454
17,28.378907338413214
4,41.189237015739415
8,33.58009315677182
23,37.55610110610383
7,35.139780925939256
10,34.07302537811066
21,36.73702589561639
11,33.62525769049248
14,31.652861497796852
2,38.48778376723263
0,37.94874667346203
18,29.929964210527228
